HITId,summary,memType,storyIx,sentIx,sent,HippocorpusAssignmentId,rawEventAnnot,majorBin,minorBin,expectedBin,surprisingBin,eventOrNot
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,4,He was looking in pretty good health about the same as when he left so that was good to see considering all the time that has passed.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,major-expected,noEvent,major-surprising,noEvent,major-surprising,minor-expected",0.375,0.125,0.25,0.25,0.5
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,5,My grandma was there too I had my issues in the past with her but it was still nice to see her.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,noEvent,noEvent,major-surprising,noEvent,minor-expected,noEvent",0.125,0.125,0.125,0.125,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,6,She treated my mom poorly so we don't talk much but I put aside my issues just for this small time period to make the gathering go smooth.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,noEvent,noEvent,major-expected,noEvent,major-surprising,minor-expected",0.25,0.125,0.25,0.125,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,7,I got to see my favorite aunt and uncle who both shared similar passions to me with computers and tech stuff and it's been like 20 years since I saw them so that was sweet.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"minor-expected,minor-expected,noEvent,noEvent,major-surprising,noEvent,major-surprising,noEvent",0.25,0.25,0.25,0.25,0.5
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,8,Basically they are the same as I remember just older but they are just as into tech stuff as they were back then.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,minor-expected,noEvent,major-expected,noEvent,minor-expected,noEvent",0.125,0.25,0.375,0.0,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,9,I remember I would bring my GameBoy or old PC games over to their house and they would know about them or have them themselves.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,major-surprising,noEvent,minor-expected,noEvent,noEvent,noEvent",0.125,0.125,0.125,0.125,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,10,Just really good memories honesty that I was happy to remember with how stressful life has been.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,major-expected,noEvent,major-surprising,noEvent,noEvent,minor-expected",0.25,0.125,0.25,0.125,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,11,Finally I got to just catch up with some other family members like my cousins and some others who I didn't remember as well cause I was so young back then.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"minor-expected,minor-expected,major-surprising,minor-expected,major-surprising,noEvent,minor-expected,noEvent",0.25,0.5,0.5,0.25,0.75
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,12,This might have been the last time a lot of us get to meet because we all live so far apart and aren't exactly wealthy so we tried to make the most of it.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,minor-expected,noEvent,major-expected,noEvent,noEvent,minor-expected",0.125,0.25,0.375,0.0,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,13,We took a lot of pictures and overall had a great time and we pledged to try and talk over the phone/webcam more often.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,minor-expected,noEvent,minor-expected,major-surprising,noEvent,minor-expected,minor-expected",0.125,0.5,0.5,0.125,0.625
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,recalled,2,14,I hope everyone gets to meet up with their family at some point because in the end it's all that you have and you don't want to waste that.,3Q8GYXHFEQOY77CMCZYLDNXI6SXC5K,"noEvent,noEvent,noEvent,noEvent,major-surprising,noEvent,noEvent,noEvent",0.125,0.0,0.0,0.125,0.125
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,0,It was our first ever family reunion and it was really cool.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"major-expected,major-surprising,major-expected,major-expected,major-surprising,major-surprising,major-surprising,noEvent",0.875,0.0,0.375,0.5,0.875
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,1,We weren't able to really do this before besides random holiday meet ups sporadically so it really was a nice change of pace.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,major-surprising,noEvent,major-expected,noEvent,noEvent,noEvent",0.25,0.0,0.125,0.125,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,2,We got to really spend some time together that wasn't rushed and catch up on at least a decade worth of misc stuff.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,minor-expected,major-surprising,noEvent,major-surprising,noEvent,major-expected,minor-expected",0.375,0.25,0.375,0.25,0.625
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,3,It was surprising how much fun it was because I always had memories of being bored out of my mind.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"minor-expected,noEvent,major-expected,noEvent,major-surprising,noEvent,major-surprising,minor-expected",0.375,0.25,0.375,0.25,0.625
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,4,I guess when you're a kid/teen you would rather be doing other stuff but now that I'm an adult I understood the value of it.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,minor-expected,noEvent,major-expected,noEvent,noEvent,minor-expected",0.125,0.25,0.375,0.0,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,5,I wish I could go back in time and tell myself not to squander these moments as we never know if they will be the last.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,noEvent,noEvent,major-surprising,noEvent,noEvent,minor-expected",0.125,0.125,0.125,0.125,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,6,Some of my family had passed away in the time frame from when we last met up for the holidays and the reunion so I won't ever get to spend time with them again and that sucks.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,minor-expected,noEvent,major-surprising,noEvent,major-expected,noEvent",0.25,0.125,0.25,0.125,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,7,It was really good to see my aunt and uncle again as they are the most similar to myself with our love for technology and in general relaxed personalities.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"minor-expected,minor-expected,major-surprising,noEvent,major-expected,noEvent,minor-expected,minor-expected",0.25,0.5,0.625,0.125,0.75
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,8,I wish I had connected with them much sooner but when my parents divorced people kind of took sides and it was hard to reach over the divide.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,major-expected,noEvent,major-expected,noEvent,minor-expected,noEvent",0.25,0.125,0.375,0.0,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,9,I won't make that mistake again I want to keep these relationships going so we did promise to keep in weekly or bi weekly contact.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,noEvent,minor-expected,major-surprising,noEvent,major-expected,noEvent",0.25,0.125,0.25,0.125,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,10,We are all in general bad at communication so hopefully we can keep this up and I will try to take control of it being the youngest.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,noEvent,noEvent,major-expected,noEvent,noEvent,minor-expected",0.125,0.125,0.25,0.0,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,11,I guess personally I am at fault for the divide when it comes to this family.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,noEvent,noEvent,major-expected,noEvent,major-surprising,noEvent",0.25,0.0,0.125,0.125,0.25
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,12,I should've been the one to really reconnect us years ago but I was just generally absorbed in the grind of life and my immediate friends/family that I didn't try.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,minor-expected,noEvent,major-surprising,noEvent,noEvent,minor-expected",0.125,0.25,0.25,0.125,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,13,I will look at my relationships with my distant family and friends more so we stay more connected.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"noEvent,noEvent,noEvent,noEvent,major-expected,noEvent,major-expected,minor-expected",0.25,0.125,0.375,0.0,0.375
304QEQWKZP6YY5PUFWVY280OW1UO0A,I met up with my family for a big reunion for the first time in 20+ years. I got to see my Grandma and Grandpa and Aunt and Uncle who I hadn't seen or talked to in a long time and it was pretty cool. We pledged to keep in touch and try to be better family.,retold,3,14,It was great to write about this again because I feel like this is a different view from the last time since I have been chatting with my family more since the last time I did this.,3RXCAC0YISBUB1BTCJ17FYSOD6EG8N,"minor-expected,minor-expected,noEvent,noEvent,major-expected,noEvent,major-surprising,noEvent",0.25,0.25,0.375,0.125,0.5
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,0,Absolutely not.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,major-surprising,noEvent,noEvent,noEvent,noEvent,noEvent,noEvent",0.125,0.0,0.0,0.125,0.125
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,1,"I feel that the most appropriate thing for you to do would be to call the bride and explain your situation, and offer to have them over or take them out when your situation improves.",374TNBHA8CH03WWPSJ4D8PKS55MYQX,"major-surprising,major-surprising,major-surprising,minor-expected,noEvent,major-surprising,major-surprising,major-expected",0.75,0.125,0.25,0.625,0.875
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,2,"As far as pressure from your parents, unless they are providing you with the money to attend and the money to give the couple, they should let it rest.",374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,minor-expected,major-surprising,minor-expected,noEvent,major-surprising,noEvent,major-expected",0.375,0.25,0.375,0.25,0.625
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,3,I would consider sending a card wishing them well.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,minor-expected,minor-expected,noEvent,noEvent,noEvent,minor-expected,minor-expected",0.0,0.5,0.5,0.0,0.5
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,4,it was an nice experience i had ever.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,noEvent,major-surprising,major-surprising,noEvent,major-surprising,noEvent,noEvent",0.375,0.0,0.0,0.375,0.375
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,5,i wish them live long and happy.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,major-surprising,minor-expected,noEvent,minor-expected,noEvent,noEvent,noEvent",0.125,0.25,0.25,0.125,0.375
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,6,they both are made for each other.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,minor-expected,major-surprising,noEvent,major-surprising,noEvent,noEvent,noEvent",0.25,0.125,0.125,0.25,0.375
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,7,i had a great time in my lifetime.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,major-expected,minor-expected,minor-expected,major-expected,minor-expected,major-expected,noEvent",0.375,0.375,0.75,0.0,0.75
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,8,she is my bestie.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,minor-expected,minor-expected,noEvent,minor-expected,major-surprising,noEvent,noEvent",0.125,0.375,0.375,0.125,0.5
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,9,we had lot of memories.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,major-expected,minor-expected,noEvent,noEvent,noEvent,noEvent,noEvent",0.125,0.125,0.25,0.0,0.25
30U1YOGZGAI7VHIHYP021KU8N6GSDW,I'd found out that I was pregnant.But they told me I wasn't able 13 years ago. My mom was gone due to a late stage 4 diagnosis just 6months prior to this news. I was absolutely stunned.,imagined,3,10,we are childhood friends.,374TNBHA8CH03WWPSJ4D8PKS55MYQX,"noEvent,noEvent,major-surprising,noEvent,noEvent,major-surprising,noEvent,major-surprising",0.375,0.0,0.0,0.375,0.375
